name,max_level
Resentment,5
Adrenaline Rush,5
Peak Performance,5
Counterstrike,3
Weakness Exploit,5
Maximum Might,3
Convert Element,3
Defense Boost,7
Divine Blessing,3
Fire Resistance,3
Water Resistance,3
Thunder Resistance,3
Ice Resistance,3
Dragon Resistance,3
Poison Resistance,3
Paralysis Resistance,3
Sleep Resistance,3
Iron Skin,3
Blight Resistance,3
Stun Resistance,3
Bleeding Resistance,3
Bind Resistance,3
Blast Resistance,3
Stench Resistance,2
Adaptability,2
Recovery Up,3
Recovery Speed,3
Survival Expert,3
Constitution,5
Stamina Surge,3
Marathon Runner,3
Hunger Resistance,3
Agitator,5
Latent Power,5
Heroics,5
Burst,5
Foray,5
Flayer,5
Palico Rally,5
Partbreaker,3
Coalescence,3
Ambush,3
Antivirus,3
Elemental Absorption,3
Self-Improvement,1
Evade Window,5
Evade Extender,3
Earplugs,3
Quick Sheathe,3
Windproof,3
Tremor Resistance,3
Flinch Free,3
Intimidator,3
Speed Eating,3
Aquatic/Oilsilt Mobility,2
Shock Absorber,1
Leap of Faith,1
Jump Master,1
Cliffhanger,1
Wide-Range,5
Tool Specialist,5
Bombardier,3
Mushroomancer,3
Item Prolonger,3
Free Meal,3
Blindsider,1
Botanist,4
Geologist,3
Entomologist,1
Outdoorsman,1
Neopteron Alert,5
Neopteron Camouflage,5
Scaling Prowess,5
Scale Layering,5
Flexible Leathercraft,5
Buttery Leathercraft,5
Fortifying Pelt,5
Alluring Pelt,5
Lord's Favor,5
Lord's Fury,5
Guardian's Pulse,5
Guardian's Protection,5
Imparted Wisdom,5
Doshaguma's Might,5
Rathalos's Flare,5
Xu Wu's Vigor,5
Gravios's Protection,5
Blangonga's Spirit,5
Ebony Odogaron's Power,5
Fulgur Anjanath's Will,5
Uth Duna's Cover,5
Rey Dau's Voltage,5
Nu Udra's Mutiny,5
Jin Dahaad's Revolt,5
Gore Magala's Tyranny,5
Arkveld's Hunger,5
Guardian Arkveld's Vitality,5